SEQUENCE_GENBANK_STRAIN,SEQUENCE_GENBANK_ACCESSION
USA/WA-PHL-006503/2021,PP630090.1
USA/WA-CDC-UW22030578973/2022,ON018704.1
USA/WA-S18818/2022,OM955357.1
USA/WA-CDC-LC0092449/2021,MZ592604.1
USA/WA-UW-22091455621/2022,OP678440.1
USA/WA-PHL-020265/2022,OQ989847.1
USA/WA-CDC-UW21081691201/2021,OK058232.1
USA/WA-CDC-UW22031096271/2022,ON090499.1
USA/WA-UW-22071759516/2022,OP209441.1
USA/WA-CDC-UW22062883622/2022,ON999233.1
USA/WA-PHL-017308/2022,PQ370131.1
USA/WA-CDC-UW22022311621/2022,OM956789.1
USA/WA-CDC-UW22052259425/2022,ON691836.1
USA/WA-PHL-030641/2022,PP787935.1
USA/WA-S2195/2020,MT831443.1
USA/WA-UW-22021544123/2022,ON040668.1
USA/WA-CDC-LC1014340/2023,OQ582822.1
USA/WA-CDC-UW23022555625/2023,OQ589389.1
USA/WA-CDC-LC0489181/2022,OM431594.1
USA/WA-S17000/2022,OM457938.1
USA/WA-CDC-LC1103993/2024,PP819323.1
USA/WA-UW-23112822694/2023,PP059146.1
USA/WA-UW-22052182300/2022,ON678484.1
USA/WA-PHL-009130/2021,PQ173680.1
USA/WA-S14467/2021,OL676599.1
USA/WA-CDC-LC0909925/2022,OP671444.1
USA/WA-CDC-UW21122652358/2021,OM232538.1
USA/WA-CDC-QDX30567212/2021,OL504266.1
USA/WA-S7331/2021,MZ222598.1
USA/WA-UW-21102834433/2021,OL606898.1
USA/WA-UW-21073198298/2021,OK144511.1
USA/WA-CDC-UW21111050418/2021,OM698941.1
USA/WA-UW-22080466748/2022,OP348316.1
USA/WA-PHL-034459/2022,PQ414833.1
USA/WA-CDC-UW21072690200/2021,MZ788385.1
USA/WA-S20488/2022,ON794881.1
USA/WA-S8459/2021,MZ453722.1
USA/WA-S15354/2021,OL904149.1
USA/WA-PHL-025561/2022,PP787116.1
USA/WA-PHL-013403/2022,PQ176106.1
USA/WA-UW-22112706815/2022,OP967743.1
USA/WA-CDC-LC0658444/2022,ON656905.1
USA/WA-CDC-FG-074762/2021,MZ878102.1
USA/WA-PHL-027319/2022,OQ782118.1
USA/WA-CDC-QDX37800186/2022,ON844665.1
USA/WA-CDC-UW21120406267/2021,OL825596.1
USA/WA-S17964/2022,OM676020.1
USA/WA-UW-67361/2021,MZ360866.1
USA/WA-PHL-025112/2022,PP786943.1
USA/WA-UW-22081772663/2022,OP457689.1
USA/WA-UW-23021334623/2023,OQ503865.1
USA/WA-CDC-UW21071870796/2021,MZ754634.1
USA/WA-CDC-LC0250310/2021,OK202474.1
USA/WA-CDC-LC0608578/2022,ON499761.1
USA/WA-PHL-001417/2021,PQ169757.1
USA/WA-S6696/2021,MZ144492.1
USA/WA-S8137/2021,MZ388022.1
USA/WA-CDC-LC0793905/2022,OP118201.1
USA/WA-CDC-UW23010981993/2023,OQ306709.1
USA/WA-CDC-LC0976600/2022,OQ206382.1
USA/WA-CDC-LC0609598/2022,ON500156.1
USA/WA-CDC-UW21061714816/2021,MZ477885.1
USA/WA-CDC-LC0483929/2022,OM409749.1
USA/WA-PHL-011410/2022,PP631616.1
USA/WA-PHL-025274/2022,OP597146.1
USA/WA-S16278/2022,OM363909.1
USA/WA-UW-21100520394/2021,OK635938.1
USA/WA-UW-21042466030/2021,MZ171756.1
USA/WA-PHL-009199/2021,PQ173747.1
USA/WA-S8235/2021,MZ453538.1
USA/WA-S15770/2021,OM003717.1
USA/WA-CDC-UW24021417992/2024,PP406982.1
USA/WA-UW-21041733378/2021,MZ233030.1
USA/WA-UW-6186/2020,MT412312.1
USA/WA-S21454/2022,OP253648.1
USA/WA-PHL-005902/2021,PQ172270.1
USA/WA-S20556/2022,ON794940.1
USA/WA-S7029/2021,MZ158392.1
USA/WA-UW-22040889415/2022,ON412584.1
USA/WA-UW-21092857484/2021,OK555120.1
USA/WA-S14422/2021,OL676555.1
USA/WA-CDC-FG-082300/2021,MZ928937.1
USA/WA-CDC-UW21042980491/2021,MZ152941.1
USA/WA-CDC-LC0590865/2022,ON414411.1
USA/WA-CDC-UW22010872083/2022,OM348355.1
USA/WA-S2252/2020,MT831388.1
USA/WA-UW-21100506443/2021,OK636015.1
USA/WA-S8196/2021,MZ453502.1
USA/WA-UW-22051110100/2022,ON627018.1
USA/WA-UW-5879/2020,MT412285.1
USA/WA-CDC-UW23011796645/2023,OQ352945.1
USA/WA-CDC-QDX38677041/2022,OP054019.1
USA/WA-CDC-LC0606421/2022,ON499332.1
USA/WA-CDC-UW22103077696/2022,OP848349.1
USA/WA-PHL-031232/2022,PP788287.1
USA/WA-PHL-020509/2022,OQ986544.1
USA/WA-CDC-UW21092595741/2021,OK448049.1
USA/WA-CDC-UW23022745389/2023,OQ589473.1
USA/WA-CDC-UW22060788693/2022,ON849256.1
USA/WA-UW-2021040206436/2021,MZ236807.1
USA/WA-UW-21120360286/2021,OM125013.1
USA/WA-CDC-QDX28782301/2021,OK372815.1
USA/WA-CDC-LC0606568/2022,ON497987.1
USA/WA-CDC-UW21082542434/2021,OK110707.1
USA/WA-CDC-LC0445502/2021,OM175870.1
USA/WA-PHL-012263/2022,PP468126.1
USA/WA-CDC-LC0825695/2022,OP248153.1
USA/WA-CDC-UW23011028287/2023,OQ306748.1
USA/WA-CDC-LC0706762/2022,ON821418.1
USA/WA-CDC-FG-071820/2021,MZ883712.1
USA/WA-UW-21071444733/2021,MZ815377.1
USA/WA-PHL-014123/2022,PQ176432.1
USA/WA-UW-21051868202/2021,MZ401555.1
USA/WA-UW-21042649617/2021,MZ394283.1
USA/WA-S4986/2021,MW687321.2
USA/WA-CDC-ASC210318678/2021,OK628883.1
USA/WA-CDC-UW21072316752/2021,OK111537.1
USA/WA-PHL-005790/2021,PQ172170.1
USA/WA-PHL-009830/2021,PQ174084.1
USA/WA-UW-21112322259/2021,OM127214.1
USA/WA-PHL-033685/2021,PQ414611.1
USA/WA-CDC-UW22010357475/2022,OM341949.1
USA/WA-S19854/2022,ON521389.1
USA/WA-CDC-UW22081106258/2022,OP376349.1
USA/WA-UW-21050890106/2021,MZ328943.1
USA/WA-PHL-000988/2021,PP700814.1
USA/WA-CDC-UW21090229716/2021,OK264976.1
USA/WA-CDC-UW22081638683/2022,OP376416.1
USA/WA-CDC-UW22010889668/2022,OM348234.1
USA/WA-S17748/2022,OM571531.1
USA/WA-UW-2760/2020,MW485424.1
USA/WA-CDC-UW21100286945/2021,OK616068.1
USA/WA-PHL-015944/2022,OQ881191.1
USA/WA-CDC-UW21091011228/2021,OK399818.1
USA/WA-PHL-010031/2022,PP631520.1
USA/WA-PHL-033673/2021,PQ414608.1
USA/WA-UW-2220/2020,MT345839.1
USA/WA-UW-22120228097/2022,OQ070138.1
USA/WA-CDC-UW21082788361/2021,OK110790.1
USA/WA-PHL-009876/2021,PQ174126.1
USA/WA-CDC-QDX30765039/2021,OL623456.1
USA/WA-PHL-024618/2022,OP596963.1
USA/WA-S876/2020,MT642383.1
USA/WA-S16907/2022,OM457845.1
USA/WA-PHL-005295/2021,PP629567.1
USA/WA-PHL-015536/2022,OQ873865.1
USA/WA-PHL-032217/2023,PQ372223.1
USA/WA-PHL-006549/2021,PP630133.1
USA/WA-CDC-UW22051901887/2022,ON691722.1
USA/WA-UW-4221/2020,MT461622.1
USA/WA-UW-21081691913/2021,OK261858.1
USA/WA-CDC-QDX35975255/2022,ON393251.1
USA/WA-CDC-UW22021679570/2022,OM901074.1
USA/WA-S4322/2021,MW591236.2
USA/WA-CDC-LC0944644/2022,OP992541.1
USA/WA-CDC-UW21080158083/2021,MZ882720.1
USA/WA-UW-64728/2021,MZ151710.1
USA/WA-CDC-LC0779554/2022,OP065175.1
USA/WA-UW-22082371789/2022,OP457674.1
USA/WA-CDC-UW22061949782/2022,ON956006.1
USA/WA-S19017/2022,ON052954.1
USA/WA-CDC-QDX39168840/2022,OP137382.1
USA/WA-CDC-UW21110931212/2021,OL597464.1
USA/WA-CDC-LC0314780/2021,OK519384.1
USA/WA-UW-2021032805741/2021,MZ238230.1
USA/WA-PHL-031742/2022,OQ835863.1
USA/WA-CDC-UW22012564720/2022,OM570737.1
USA/WA-CDC-LC0296081/2021,OK450594.1
USA/WA-UW-21072514399/2021,OK556030.1
USA/WA-CDC-UW21122799704/2021,OM188657.1
USA/WA-UW-21042832498/2021,MZ278166.1
USA/WA-CDC-UW23091533081/2023,OR610816.1
USA/WA-PHL-003665/2021,PQ170974.1
USA/WA-CDC-UW21110914814/2021,OL597465.1
USA/WA-PHL-020923/2022,OQ990676.1
USA/WA-S14993/2021,OL740826.1
USA/WA-PHL-004999/2021,PQ171699.1
USA/WA-UW-21100507289/2021,OK635941.1
USA/WA-PHL-012761/2022,OQ872974.1
USA/WA-PHL-028158/2022,OQ785255.1
USA/WA-PHL-009859/2021,PQ174110.1
USA/WA-CDC-LC0474079/2022,OM344086.1
USA/WA-CDC-UW21092519297/2021,OK447983.1
USA/WA-CDC-UW21062453814/2021,MZ532328.1
USA/WA-S259/2020,MT627638.1
USA/WA-PHL-001197/2021,PP627630.1
USA/WA-PHL-029004/2020,PQ413705.1
USA/WA-UW-24031371120/2024,PP975143.1
USA/WA-S8061/2021,MZ388347.1
USA/WA-CDC-QDX30320488/2021,OL389004.1
USA/WA-CDC-LC0695846/2022,ON801696.1
USA/WA-CDC-UW21073143205/2021,MZ788408.1
USA/WA-CDC-UW22010299519/2022,OM269480.1
USA/WA-UW-6491/2020,MT461646.1
USA/WA-CDC-UW21090851801/2021,OK301377.1
USA/WA-UW-22071998375/2022,OP209465.1
USA/WA-CDC-LC0451143/2021,OM226571.1
USA/WA-CDC-UW21073031363/2021,MZ788491.1
USA/WA-S827/2020,MT641595.1
USA/WA-CDC-UW21120863210/2021,OL914062.1
USA/WA-S24486/2023,PP082363.1
USA/WA-PHL-014507/2022,PQ176784.1
USA/WA-CDC-LC0945375/2022,OP992274.1
USA/WA-PHL-020056/2022,OQ986477.1
USA/WA-UW-22122982010/2022,OQ290668.1
USA/WA-UW-22052986822/2022,ON796319.1
USA/WA-UW-23031501464/2023,OQ704162.1
USA/WA-S5294/2020,MW773896.1
USA/WA-UW-22110451015/2022,OP939570.1
USA/WA-S11932/2021,OK375000.1
USA/WA-CDC-LC0365792/2021,OL558149.1
USA/WA-CDC-LC0735295/2022,ON940302.1
USA/WA-CDC-LC0602936/2022,ON466856.1
USA/WA-UW-22072084573/2022,OP209434.1
USA/WA-CDC-ASC210560874/2021,OM332959.1
USA/WA-PHL-024012/2022,PQ370743.1
USA/WA-UW-22040582453/2022,ON381135.1
USA/WA-UW-21042271508/2021,MZ171928.1
USA/WA-S459/2020,MT632923.1
USA/WA-PHL-034020/2022,PQ414729.1
USA/WA-CDC-UW22111089272/2022,OP872909.1
USA/WA-CDC-LC0396527/2021,OL835729.1
USA/WA-S2809/2020,MW077484.1
USA/WA-PHL-005641/2021,PQ172029.1
USA/WA-CDC-UW21081367075/2021,MZ952152.1
USA/WA-CDC-UW22102811942/2022,OP848297.1
USA/WA-CDC-LC0499320/2022,OM499408.1
USA/WA-UW-67448/2021,MZ238158.1
USA/WA-CDC-UW21123126193/2021,OM341758.1
USA/WA-CDC-LC0060329/2021,MZ306888.1
USA/WA-CDC-UW22021187695/2022,OM900812.1
USA/WA-PHL-035278/2024,PP845912.1
USA/WA-UW-22081757912/2022,OP457635.1
USA/WA-S20699/2022,ON808892.1
USA/WA-S2042/2020,MT831362.1
USA/WA-UW-22021645683/2022,ON076756.1
USA/WA-CDC-UW22052324290/2022,ON688950.1
USA/WA-CDC-LC0709820/2022,ON871238.1
USA/WA-PHL-025439/2022,PP787003.1
USA/WA-UW-22110738452/2022,OP939470.1
USA/WA-UW-21041926184/2021,MZ232702.1
USA/WA-S20948/2022,ON819409.1
USA/WA-UW-22093015539/2022,OP824102.1
USA/WA-CDC-UW21060565318/2021,MZ415169.1
USA/WA-CDC-LC0366990/2021,OL559348.1
USA/WA-PHL-004022/2021,PQ171234.1
USA/WA-UW-22072834813/2022,OP348840.1
USA/WA-UW-22100824250/2022,OP823858.1
USA/WA-CDC-QDX33118300/2022,OM584911.1
USA/WA-CDC-UW21062402778/2021,MZ532310.1
USA/WA-UW-60037/2021,MW879555.1
USA/WA-S18687/2022,OM955444.1
USA/WA-CDC-UW21070767301/2021,MZ581147.1
USA/WA-CDC-UW22060653689/2022,ON827126.1
USA/WA-PHL-009129/2021,PQ173679.1
USA/WA-CDC-UW22020744823/2022,OM758365.1
USA/WA-CDC-LC0673972/2022,ON728209.1
USA/WA-UW-21061570825/2021,MZ468000.1
USA/WA-CDC-LC0483475/2022,OM409174.1
USA/WA-PHL-019961/2022,OQ986455.1
USA/WA-PHL-024830/2022,PQ371270.1
USA/WA-PHL-024658/2022,OP597001.1
USA/WA-CDC-LC1021639/2023,OQ614299.1
USA/WA-PHL-019377/2022,OQ785594.1
USA/WA-CDC-UW21072133943/2021,OK111608.1
USA/WA-PHL-002433/2021,PP628227.1
USA/WA-CDC-QDX32888151/2022,OM469738.1
USA/WA-CDC-LC0704613/2022,ON823609.1
USA/WA-CDC-LC0469211/2022,OM359648.1
USA/WA-PHL-014234/2022,PQ176538.1
USA/WA-CDC-LC0265379/2021,OK277689.1
USA/WA-S20024/2022,ON521266.1
USA/WA-PHL-021114/2022,PQ389590.1
USA/WA-CDC-UW23100728691/2023,OR686354.1
USA/WA-CDC-LC0724324/2022,ON895870.1
USA/WA-CDC-UW22070503718/2022,OP036245.1
USA/WA-S12058/2021,OK464556.1
USA/WA-CDC-FG-150163/2021,OK614351.1
USA/WA-S8573/2021,MZ461084.1
USA/WA-PHL-015460/2022,OQ873800.1
USA/WA-PHL-011578/2022,PP631776.1
USA/WA-CDC-UW21090887361/2021,OK301384.1
USA/WA-CDC-UW22122789433/2022,OQ204743.1
USA/WA-PHL-004840/2021,PP629350.1
USA/WA-CDC-UW22051235814/2022,ON689085.1
USA/WA-PHL-004289/2021,PP629088.1
USA/WA-PHL-016550/2021,PQ400572.1
USA/WA-PHL-021148/2022,PQ389620.1
USA/WA-CDC-UW22120549553/2022,OQ028775.1
USA/WA-S13330/2021,OL336140.1
USA/WA-CDC-UW22070651161/2022,OP036317.1
USA/WA-CDC-UW22021402152/2022,OM900954.1
USA/WA-UW-2021041276548/2021,MZ231873.1
USA/WA-PHL-027235/2022,OQ782055.1
USA/WA-CDC-UW23011609595/2023,OQ352914.1
USA/WA-CDC-LC0286724/2021,OK369609.1
USA/WA-CDC-UW21081504522/2021,OK068310.1
USA/WA-PHL-013584/2022,OQ876401.1
USA/WA-UW-22110772438/2022,OP967711.1
USA/WA-CDC-UW22121344223/2022,OQ131000.1
USA/WA-S11773/2021,OK374864.1
USA/WA-CDC-FG-157044/2021,OL355978.1
USA/WA-CDC-UW22030665551/2022,ON018713.1
USA/WA-S1618/2020,MT834302.1
USA/WA-CDC-QDX29519981/2021,OK577041.1
USA/WA-CDC-UW21052040224/2021,MZ360005.1
USA/WA-CDC-QDX28468336/2021,OK262935.1
USA/WA-CDC-QDX46179459/2023,OQ425889.1
USA/WA-S9587/2021,MZ616502.1
USA/WA-CDC-LC0417717/2021,OL884205.1
USA/WA-CDC-LC0484271/2022,OM408779.1
USA/WA-UW-22100471802/2022,OP716005.1
USA/WA-CDC-LC0221804/2021,OK154580.1
USA/WA-CDC-UW21073035304/2021,MZ967677.1
USA/WA-UW-21092867514/2021,OK556905.1
USA/WA-UW-22092887902/2022,OP823734.1
USA/WA-S13452/2021,OL373654.1
USA/WA-PHL-028230/2020,PQ413105.1
USA/WA-CDC-LC0002467/2021,OK425812.1
USA/WA-S3481/2020,MW548874.1
USA/WA-UW-22032587495/2022,ON249134.1
USA/WA-UW-23011654044/2023,OQ378177.1
USA/WA-CDC-LC0948918/2022,OQ048964.1
USA/WA-S13861/2021,OL516245.1
USA/WA-PHL-022692/2022,OQ771687.1
USA/WA-PHL-028949/2020,PQ413659.1
USA/WA-CDC-UW21080267072/2021,MZ882628.1
USA/WA-S18798/2022,OM955343.1
USA/WA-S18721/2022,OM955476.1
USA/WA-S8832/2021,MZ469250.1
USA/WA-CDC-UW22050111692/2022,ON689215.1
USA/WA-UW-2021040502462/2021,MZ239147.1
USA/WA-UW-22101033228/2022,OP729438.1
USA/WA-CDC-QDX32498993/2021,OM310601.1
USA/WA-CDC-FG-207836/2021,OM085807.1
USA/WA-PHL-030319/2022,PP787817.1
USA/WA-CDC-LC0686170/2022,ON768955.1
USA/WA-UW-22082521372/2022,OP597402.1
USA/WA-CDC-UW22120107174/2022,OP999793.1
USA/WA-S184/2020,MT632594.1
USA/WA-CDC-QDX32498954/2021,OM310452.1
USA/WA-S12881/2021,OK647348.1
USA/WA-PHL-021807/2022,PP477857.1
USA/WA-CDC-LC0706479/2022,ON821514.1
USA/WA-UW-21091368378/2021,OK375388.1
USA/WA-CDC-LC0618492/2022,ON537223.1
USA/WA-CDC-UW21102300784/2021,OL360748.1
USA/WA-CDC-LC0778311/2022,OP062437.1
USA/WA-UW-2021041657851/2021,MZ240693.1
USA/WA-CDC-UW21123195701/2021,OM341781.1
USA/WA-S7158/2021,MZ156913.1
USA/WA-UW-22101530546/2022,OP824301.1
USA/WA-CDC-UW21090712812/2021,OK301806.1
USA/WA-CDC-UW22080894158/2022,OP303453.1
USA/WA-UW-22042540735/2022,ON478452.1
USA/WA-CDC-UW21111038530/2021,OL597479.1
USA/WA-UW-2021041066753/2021,MZ233141.1
USA/WA-CDC-QDX37144475/2022,ON679729.1
USA/WA-S12903/2021,OK647368.1
USA/WA-S9634/2021,MZ616548.1
USA/WA-S950/2020,MT642206.1
USA/WA-CDC-LC0658525/2022,ON657774.1
USA/WA-CDC-UW22040242713/2022,ON305092.1
USA/WA-UW-21061535743/2021,MZ613556.1
USA/WA-CDC-LC0186141/2021,MZ993750.1
USA/WA-CDC-LC0793734/2022,OP118814.1
USA/WA-PHL-014880/2022,PQ400330.1
USA/WA-S12389/2021,OK546439.1
USA/WA-PHL-017122/2022,OQ916783.1
USA/WA-CDC-ASC210109544/2021,MZ566399.1
USA/WA-PHL-005140/2021,PQ171837.1
USA/WA-PHL-034855/2023,OR680184.1
USA/WA-CDC-LC0706856/2022,ON821891.1
USA/WA-PHL-028858/2020,PQ413573.1
USA/WA-CDC-FG-150083/2021,OK614279.1
USA/WA-PHL-014371/2022,PQ176662.1
USA/WA-CDC-FG-133311/2021,OK357834.1
USA/WA-S409/2020,MT632972.1
USA/WA-CDC-UW22020763221/2022,OM753349.1
USA/WA-CDC-UW23092202059/2023,OR632594.1
USA/WA-S17142/2022,OM457259.1
USA/WA-CDC-QDX29644555/2021,OK596163.1
USA/WA-CDC-LC0940357/2022,OP955143.1
USA/WA-CDC-QDX29213650/2021,OK483741.1
USA/WA-CDC-FG-081942/2021,MZ928977.1
USA/WA-UW-22042664219/2022,ON626938.1
USA/WA-S13347/2021,OL373551.1
USA/WA-CDC-ASC210545817/2022,OM571053.1
USA/WA-CDC-UW22053117979/2022,ON738598.1
USA/WA-UW-22120218918/2022,OQ070123.1
USA/WA-PHL-005286/2021,PP629559.1
USA/WA-CDC-UW21080693803/2021,MZ895975.1
USA/WA-S7855/2021,MZ388151.1
USA/WA-CDC-UW21090701959/2021,OK301822.1
USA/WA-PHL-002517/2021,PP628308.1
USA/WA-CDC-QDX47145275/2023,OQ583790.1
USA/WA-CDC-LC0771307/2022,OP026793.1
USA/WA-PHL-022872/2022,OQ771797.1
USA/WA-UW-21111839563/2021,OL965194.1
USA/WA-UW-22042450228/2022,ON548574.1
USA/WA-CDC-LC0079767/2021,MZ531643.1
USA/WA-UW-22082002575/2022,OP457790.1
USA/WA-PHL-015546/2022,OQ873873.1
USA/WA-CDC-LC0152979/2021,MZ866547.1
USA/WA-S16590/2022,OM437168.1
USA/WA-S14118/2021,OL584746.1
USA/WA-CDC-LC0793830/2022,OP118213.1
USA/WA-CDC-LC0995667/2023,OQ353458.1
USA/WA-UW-21092884933/2021,OK557085.1
USA/WA-CDC-UW22122443630/2022,OQ339049.1
USA/WA-CDC-UW21110805298/2021,OL597432.1
USA/WA-CDC-UW21090927062/2021,OK301622.1
USA/WA-CDC-QDX28549756/2021,OK262247.1
USA/WA-PHL-016490/2022,PQ400515.1
USA/WA-PHL-000335/2021,PP697118.1
USA/WA-PHL-014896/2022,PQ400346.1
USA/WA-S18440/2022,OM886505.1
USA/WA-UW-68978/2021,MZ236360.1
USA/WA-PHL-010098/2022,PQ174249.1
USA/WA-PHL-021985/2022,PP477980.1
USA/WA-CDC-UW21111099899/2021,OL597493.1
USA/WA-S10257/2021,MZ770082.1
USA/WA-PHL-024580/2022,OP596932.1
USA/WA-CDC-UW22021074143/2022,OM900715.1
USA/WA-PHL-002922/2021,PQ170543.1
USA/WA-UW-22102613848/2022,OP824280.1
USA/WA-CDC-LC0275746/2021,OK367399.1
USA/WA-UW-22122114863/2022,OQ290655.1
USA/WA-PHL-024582/2022,OP596934.1
USA/WA-CDC-LC0860180/2022,OP385618.1
USA/WA-CDC-UW23092126919/2023,OR632579.1
USA/WA-PHL-008935/2021,PP631011.1
USA/WA-CDC-UW22030121236/2022,ON018561.1
USA/WA-PHL-012449/2022,PP468304.1
USA/WA-CDC-UW21072029438/2021,OK111850.1
USA/WA-UW-22062007270/2022,ON974095.1
USA/WA-CDC-UW22010455111/2022,OM348000.1
USA/WA-PHL-014000/2022,PQ176316.1
USA/WA-UW-22072860291/2022,OP348667.1
USA/WA-UW-21042063669/2021,MZ172319.1
USA/WA-UW-22111992004/2022,OP967810.1
USA/WA-S10350/2021,MZ770163.1
USA/WA-UW-22042422760/2022,ON548631.1
USA/WA-S12981/2021,OK647829.1
USA/WA-S4595/2021,MW648097.2
USA/WA-PHL-013514/2022,OQ876334.1
USA/WA-CDC-LC0415690/2021,OL883548.1
USA/WA-S7930/2021,MZ388221.1
USA/WA-UW-21042835965/2021,MZ278179.1
USA/WA-CDC-LC0385955/2021,OL684014.1
USA/WA-CDC-LC0563220/2022,ON047885.1
USA/WA-CDC-UW22120583560/2022,OQ080155.1
USA/WA-CDC-UW21042878066/2021,MZ199062.1
USA/WA-S16424/2022,OM363821.1
USA/WA-CDC-UW21050485895/2021,MZ257707.1
USA/WA-CDC-LC0825704/2022,OP248035.1
USA/WA-CDC-ASC210271899/2021,OK079842.1
USA/WA-CDC-UW22010286755/2022,OM289012.1
USA/WA-PHL-007961/2021,PQ173174.1
USA/WA-UW-23021898441/2023,OQ567941.1
USA/WA-CDC-LC0740448/2022,ON949147.1
USA/WA-CDC-UW24013093421/2024,PP320561.1
USA/WA-UW-22051591689/2022,ON626932.1
USA/WA-S6339/2021,MZ082409.1
USA/WA-UW-22082318231/2022,OP412768.1
USA/WA-PHL-022428/2022,OQ771641.1
USA/WA-S5449/2021,MW774028.1
USA/WA-PHL-006835/2021,PP630331.1
USA/WA-S1857/2020,MT834011.1
USA/WA-PHL-016857/2022,OQ916537.1
USA/WA-PHL-004792/2021,PP629306.1
USA/WA-CDC-UW23011873190/2023,OQ352980.1
USA/WA-CDC-LC0602540/2022,ON467000.1
USA/WA-S15166/2021,OL740981.1
USA/WA-CDC-LC0250211/2021,OK202408.1
USA/WA-CDC-UW21070914347/2021,MZ688194.1
USA/WA-CDC-LC0250296/2021,OK202469.1
USA/WA-S12935/2021,OP208798.1
USA/WA-CDC-LC0400951/2021,OL838042.1
USA/WA-CDC-LC0538144/2022,OM790022.1
USA/WA-S2102/2020,MT831334.1
USA/WA-UW-23022059921/2023,OQ568050.1
USA/WA-UW-23030295532/2023,OQ673763.1
USA/WA-UW-23032808958/2023,OQ851673.1
USA/WA-CDC-UW21081340088/2021,MZ952034.1
USA/WA-CDC-UW22100329824/2022,OP651320.1
USA/WA-PHL-005875/2021,PQ172244.1
USA/WA-CDC-UW23032137540/2023,OQ833270.1
USA/WA-CDC-LC0455199/2021,OM271685.1
USA/WA-S14012/2021,OL584644.1
USA/WA-PHL-018717/2022,OQ755372.1
USA/WA-CDC-LC0833930/2022,OP283990.1
USA/WA-UW-2021041294578/2021,MZ231837.1
USA/WA-UW-22051167695/2022,ON678493.1
USA/WA-PHL-004804/2021,PP629316.1
USA/WA-PHL-020145/2022,OQ986525.1
USA/WA-CDC-UW22090615335/2022,OP493492.1
USA/WA-CDC-UW22062820955/2022,ON999251.1
USA/WA-CDC-LC0534936/2022,OM788434.1
USA/WA-CDC-UW21081632284/2021,OK068244.1
USA/WA-CDC-UW22020937742/2022,OM753373.1
USA/WA-CDC-UW21122885428/2021,OM288786.1
USA/WA-S14953/2021,OL740788.1
USA/WA-UW-22060634180/2022,ON796455.1
USA/WA-CDC-UW21073021104/2021,MZ967634.1
USA/WA-CDC-UW21072667596/2021,MZ788357.1
USA/WA-CDC-UW22082988049/2022,OP466809.1
USA/WA-CDC-UW21100264489/2021,OK534334.1
USA/WA-CDC-UW21073003687/2021,MZ967603.1
USA/WA-CDC-FG-127239/2021,OK306145.1
USA/WA-PHL-013628/2022,OQ876442.1
USA/WA-S12507/2021,OK546550.1
USA/WA-CDC-UW21042891850/2021,MZ152966.1
USA/WA-CDC-UW23080726966/2023,OR439400.1
USA/WA-CDC-QDX29320068/2021,OK573533.1
USA/WA-PHL-033017/2023,PQ372717.1
USA/WA-UW-21043028804/2021,MZ434132.1
USA/WA-S10815/2021,OK094686.1
USA/WA-PHL-021997/2022,PP477988.1
USA/WA-PHL-002092/2021,PQ170089.1
USA/WA-S18375/2022,OM877432.1
USA/WA-CDC-UW21051982399/2021,MZ357603.1
USA/WA-CDC-LC0385823/2021,OL683990.1
USA/WA-UW-22052476489/2022,ON711428.1
USA/WA-PHL-005607/2021,PP629774.1
USA/WA-CDC-UW21121070418/2021,OL914260.1
USA/WA-S1893/2020,MT834193.1
USA/WA-PHL-016281/2022,OQ711642.1
USA/WA-UW-23061200713/2023,OR258316.1
USA/WA-CDC-LC0639654/2022,ON607828.1
USA/WA-CDC-UW21071547857/2021,MZ729384.1
USA/WA-UW-22101840591/2022,OP823217.1
USA/WA-S10675/2021,OK083314.1
USA/WA-CDC-LC0451326/2021,OM225828.1
USA/WA-PHL-012847/2022,PQ175660.1
USA/WA-CDC-LC0569369/2022,ON232623.1
USA/WA-CDC-QDX46448179/2023,OQ451997.1
USA/WA-UW-22040776538/2022,ON412607.1
USA/WA-S4070/2021,MW555945.2
USA/WA-S24670/2024,PP319591.1
USA/WA-UW-2021040209906/2021,MZ236789.1
USA/WA-UW-22071760065/2022,OP157037.1
USA/WA-S5504/2021,MW869857.1
USA/WA-UW-67472/2021,MW876897.1
USA/WA-CDC-UW21092553190/2021,OK447946.1
USA/WA-CDC-LC0333659/2021,OL326506.1
USA/WA-PHL-030159/2022,PP787699.1
USA/WA-PHL-008150/2021,PP630596.1
USA/WA-CDC-QDX28888894/2021,OK443020.1
USA/WA-CDC-UW22102475795/2022,OP788301.1
USA/WA-CDC-UW23031414260/2023,OQ704424.1
USA/WA-S8058/2021,MZ388344.1
USA/WA-CDC-UW21081339704/2021,MZ896046.1
USA/WA-PHL-006594/2021,PP630177.1
USA/WA-S9112/2021,MZ469202.1
USA/WA-UW-21071954724/2021,MZ713981.1
USA/WA-UW-21102940567/2021,OL606918.1
USA/WA-UW-21042207917/2021,MZ172034.1
USA/WA-UW-23020385611/2023,OQ504055.1
USA/WA-CDC-LC0640739/2022,ON608741.1
USA/WA-UW-67982/2021,MZ232132.1
USA/WA-CDC-UW21082869654/2021,OK158779.1
USA/WA-CDC-QDX39293259/2022,OP194084.1
USA/WA-CDC-UW22092633872/2022,OP651210.1
USA/WA-UW-22041546372/2022,ON478498.1
USA/WA-CDC-LC0749791/2022,ON977687.1
